Brand,Model,Release date,Max resolution,Low resolution,Effective pixels,Zoom wide (W),Zoom tele (T),Normal focus range,Macro focus range,Storage included,Weight (inc. batteries),Dimensions,Price
2,Fujifilm FinePix A610,2007,2848.0,2048.0,6.0,39.0,117.0,60.0,10.0,10.0,195.0,98.0,169.0
2,Fujifilm FinePix A800,2007,3296.0,2304.0,8.0,36.0,108.0,50.0,10.0,10.0,200.0,98.0,169.0
2,Fujifilm FinePix A820,2007,3296.0,2304.0,8.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
2,Fujifilm FinePix A900,2007,3488.0,2048.0,9.0,39.0,156.0,60.0,10.0,10.0,205.0,98.0,169.0
2,Fujifilm FinePix A920,2007,3488.0,2592.0,9.0,39.0,156.0,60.0,10.0,10.0,206.0,98.0,169.0
2,Fujifilm FinePix E500 Zoom,2004,2304.0,1600.0,4.0,28.0,91.0,60.0,6.0,16.0,226.0,101.0,169.0
2,Fujifilm FinePix E510 Zoom,2004,2592.0,2048.0,5.0,28.0,91.0,60.0,2.0,16.0,226.0,101.0,169.0
2,Fujifilm FinePix E550 Zoom,2004,4048.0,2048.0,6.0,32.0,130.0,60.0,7.0,16.0,260.0,105.0,169.0
2,Fujifilm FinePix E900 Zoom,2005,3488.0,2592.0,9.0,32.0,128.0,60.0,7.0,16.0,260.0,102.0,169.0
2,Fujifilm FinePix F10 Zoom,2005,2848.0,2048.0,6.0,36.0,108.0,60.0,8.0,16.0,190.0,92.0,179.0
2,Fujifilm FinePix F11 Zoom,2005,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,16.0,190.0,92.0,199.0
2,Fujifilm FinePix F20 Zoom,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,190.0,94.0,169.0
2,Fujifilm FinePix F30 Zoom,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,10.0,185.0,93.0,169.0
2,Fujifilm FinePix F31 fd,2006,2848.0,2048.0,6.0,36.0,108.0,60.0,5.0,26.0,185.0,93.0,199.0
2,Fujifilm FinePix F401 Zoom,2002,2304.0,1600.0,2.0,38.0,114.0,60.0,10.0,16.0,200.0,85.0,169.0
2,Fujifilm FinePix F402,2002,2304.0,1600.0,2.0,39.0,39.0,50.0,6.0,16.0,145.0,77.0,199.0
2,Fujifilm FinePix F40 fd,2007,3296.0,2304.0,8.0,36.0,108.0,45.0,7.0,25.0,181.0,96.0,199.0
2,Fujifilm FinePix F410 Zoom,2003,2816.0,2048.0,3.0,38.0,114.0,60.0,10.0,16.0,205.0,85.0,169.0
2,Fujifilm FinePix F420 Zoom,2003,2816.0,2048.0,3.0,36.0,108.0,60.0,8.0,16.0,180.0,77.0,169.0
2,Fujifilm FinePix F440 Zoom,2004,2304.0,1600.0,3.0,38.0,130.0,60.0,9.0,16.0,180.0,75.0,169.0
2,Fujifilm FinePix F450 Zoom,2004,2592.0,2048.0,5.0,38.0,130.0,60.0,9.0,16.0,180.0,75.0,199.0
2,Fujifilm FinePix F455 Zoom,2004,2592.0,2048.0,5.0,38.0,130.0,60.0,9.0,16.0,180.0,93.0,199.0
2,Fujifilm FinePix F470 Zoom,2006,2816.0,2048.0,6.0,35.0,105.0,70.0,10.0,16.0,150.0,92.0,169.0
2,Fujifilm FinePix F480 Zoom,2007,3264.0,2304.0,8.0,28.0,112.0,40.0,5.0,12.0,170.0,96.0,169.0
2,Fujifilm FinePix F50 fd,2007,4000.0,2848.0,12.0,35.0,105.0,45.0,7.0,25.0,205.0,93.0,199.0
2,Fujifilm FinePix F601Z,2002,2832.0,2048.0,3.0,36.0,108.0,60.0,20.0,16.0,280.0,72.0,169.0
2,Fujifilm FinePix F610,2003,4048.0,2848.0,6.0,35.0,105.0,60.0,9.0,16.0,205.0,72.0,169.0
2,Fujifilm FinePix F650 Zoom,2006,2816.0,2048.0,6.0,36.0,180.0,60.0,3.0,32.0,200.0,105.0,169.0
2,Fujifilm FinePix F700,2003,2832.0,2048.0,3.0,35.0,105.0,60.0,9.0,16.0,205.0,108.0,169.0
2,Fujifilm FinePix F710,2004,2832.0,2048.0,3.0,32.0,130.0,60.0,8.0,16.0,225.0,110.0,169.0
2,Fujifilm FinePix F810 Zoom,2004,4048.0,2848.0,6.0,32.0,130.0,60.0,7.0,16.0,250.0,110.0,169.0
2,Fujifilm FinePix IS-1,2007,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,169.0
2,Fujifilm FinePix M603,2002,2832.0,2048.0,3.0,38.0,76.0,60.0,20.0,16.0,280.0,65.0,169.0
2,Fujifilm FinePix S20 Pro,2004,2832.0,2016.0,6.0,35.0,210.0,50.0,1.0,16.0,597.0,121.0,1699.0
2,Fujifilm FinePix S3000 Z,2003,2048.0,1600.0,3.0,38.0,228.0,80.0,10.0,16.0,400.0,100.0,229.0
2,Fujifilm FinePix S3500 Zoom,2004,2272.0,1600.0,4.0,39.0,234.0,80.0,10.0,16.0,385.0,100.0,229.0
2,Fujifilm FinePix S5000 Z,2003,2816.0,2048.0,3.0,37.0,370.0,90.0,10.0,16.0,430.0,113.0,229.0
2,Fujifilm FinePix S5100 Zoom,2004,2272.0,1600.0,4.0,37.0,370.0,90.0,10.0,16.0,387.0,113.0,229.0
2,Fujifilm FinePix S5200 Zoom,2005,2592.0,2048.0,5.0,38.0,380.0,90.0,1.0,16.0,470.0,114.0,229.0
2,Fujifilm FinePix S5700 Zoom,2007,3072.0,2304.0,7.0,38.0,380.0,30.0,10.0,27.0,406.0,106.0,229.0
2,Fujifilm FinePix S6000 fd,2006,2848.0,2048.0,6.0,28.0,300.0,40.0,10.0,10.0,700.0,131.0,399.0
2,Fujifilm FinePix S602Z,2002,2832.0,2048.0,3.0,35.0,210.0,50.0,1.0,16.0,590.0,121.0,399.0
2,Fujifilm FinePix S602Z Pro,2002,2832.0,2048.0,3.0,35.0,210.0,50.0,1.0,0.0,590.0,121.0,1699.0
2,Fujifilm FinePix S7000 Z,2003,4048.0,2848.0,6.0,35.0,210.0,50.0,1.0,16.0,590.0,121.0,229.0
2,Fujifilm FinePix S8000 fd,2007,3264.0,2304.0,8.0,27.0,486.0,70.0,10.0,58.0,510.0,111.0,399.0
2,Fujifilm FinePix S9000 Z,2005,3488.0,2592.0,9.0,28.0,300.0,50.0,1.0,16.0,745.0,128.0,229.0
2,Fujifilm FinePix S9100,2006,3488.0,2592.0,9.0,28.0,300.0,0.0,0.0,0.0,750.0,128.0,229.0
2,Fujifilm FinePix V10 Zoom,2006,2592.0,2048.0,5.0,36.0,130.0,60.0,9.0,16.0,185.0,83.0,179.0
2,Fujifilm FinePix Z1,2005,2592.0,2048.0,5.0,36.0,108.0,60.0,8.0,16.0,170.0,90.0,179.0
2,Fujifilm FinePix Z10  fd,2007,3072.0,2304.0,7.0,38.0,114.0,60.0,8.0,54.0,160.0,91.0,399.0
2,Fujifilm FinePix Z2,2005,2592.0,2048.0,5.0,36.0,108.0,60.0,8.0,16.0,170.0,90.0,179.0
2,Fujifilm FinePix Z3,2006,2592.0,2048.0,5.0,36.0,108.0,60.0,8.0,10.0,170.0,89.0,179.0
2,Fujifilm FinePix IS Pro,2007,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,920.0,147.0,1699.0
2,Fujifilm FinePix 4700 Zoom,2000,2400.0,1280.0,2.0,36.0,108.0,80.0,20.0,16.0,280.0,78.0,169.0
2,Fujifilm FinePix S1 Pro,2000,3040.0,2340.0,3.0,0.0,0.0,0.0,0.0,16.0,820.0,148.0,1699.0
2,Fujifilm FinePix S2 Pro,2002,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,850.0,142.0,1699.0
2,Fujifilm FinePix S3 Pro,2004,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,930.0,148.0,1699.0
2,Fujifilm FinePix S5 Pro,2006,4256.0,3024.0,6.0,0.0,0.0,0.0,0.0,0.0,920.0,147.0,1699.0
3,Nikon Coolpix 100,1997,512.0,320.0,0.0,52.0,52.0,23.0,14.0,1.0,200.0,60.0,229.0
3,Nikon Coolpix 2000,2002,1632.0,1024.0,1.0,38.0,114.0,0.0,0.0,8.0,295.0,108.0,229.0
3,Nikon Coolpix 2100,2003,1600.0,1024.0,1.0,36.0,108.0,30.0,4.0,8.0,215.0,88.0,99.0
3,Nikon Coolpix 2200,2004,1600.0,1024.0,1.0,36.0,108.0,30.0,4.0,14.0,190.0,88.0,229.0
3,Nikon Coolpix 2500,2002,1600.0,1280.0,1.0,37.0,111.0,30.0,4.0,8.0,250.0,114.0,229.0
3,Nikon Coolpix 300,1997,640.0,0.0,0.0,45.0,45.0,23.0,14.0,4.0,250.0,78.0,229.0
3,Nikon Coolpix 3100,2003,2048.0,1600.0,3.0,38.0,115.0,30.0,4.0,16.0,215.0,88.0,99.0
3,Nikon Coolpix 3200,2004,2048.0,1600.0,3.0,38.0,115.0,30.0,4.0,14.0,190.0,88.0,229.0
3,Nikon Coolpix 3500,2002,2048.0,1600.0,3.0,37.0,111.0,30.0,4.0,8.0,250.0,114.0,229.0
3,Nikon Coolpix 3700,2003,2048.0,1600.0,3.0,35.0,105.0,30.0,3.0,16.0,162.0,95.5,229.0
3,Nikon Coolpix 4100,2004,2288.0,1600.0,3.0,35.0,105.0,0.0,0.0,14.0,190.0,88.0,99.0
3,Nikon Coolpix 4200,2004,2272.0,2048.0,3.0,38.0,114.0,30.0,4.0,12.0,180.0,88.0,229.0
3,Nikon Coolpix 4300,2002,2272.0,2048.0,3.0,38.0,114.0,30.0,4.0,16.0,286.0,95.0,229.0
3,Nikon Coolpix 4500,2002,2272.0,1280.0,3.0,38.0,155.0,30.0,2.0,16.0,374.0,130.0,229.0
3,Nikon Coolpix 4600,2005,2288.0,1600.0,3.0,34.0,102.0,30.0,4.0,14.0,180.0,85.0,229.0
3,Nikon Coolpix 4800,2004,2288.0,1600.0,4.0,36.0,300.0,40.0,1.0,13.0,295.0,106.0,229.0
3,Nikon Coolpix 5000,2001,2560.0,1600.0,4.0,28.0,85.0,50.0,2.0,32.0,414.0,102.0,229.0
3,Nikon Coolpix 5200,2004,2592.0,2048.0,5.0,38.0,114.0,30.0,4.0,12.0,180.0,88.0,229.0
3,Nikon Coolpix 5400,2003,2592.0,1600.0,5.0,28.0,116.0,50.0,1.0,16.0,400.0,108.0,229.0
3,Nikon Coolpix 5600,2005,2592.0,2048.0,5.0,34.0,102.0,30.0,4.0,14.0,180.0,85.0,229.0
3,Nikon Coolpix 5700,2002,2560.0,1600.0,4.0,35.0,280.0,50.0,3.0,32.0,512.0,108.0,229.0
3,Nikon Coolpix 5900,2005,2592.0,2048.0,5.0,38.0,114.0,30.0,4.0,13.0,185.0,88.0,229.0
3,Nikon Coolpix 600,1998,1024.0,512.0,0.0,36.0,36.0,50.0,14.0,8.0,220.0,110.0,229.0
3,Nikon Coolpix 700,1999,1600.0,640.0,1.0,35.0,35.0,30.0,9.0,8.0,340.0,114.0,229.0
3,Nikon Coolpix 7600,2005,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,14.0,195.0,85.0,229.0
3,Nikon Coolpix 775,2001,1600.0,1024.0,1.0,38.0,115.0,30.0,4.0,8.0,230.0,87.0,159.0
3,Nikon Coolpix 7900,2005,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,185.0,88.0,229.0
3,Nikon Coolpix 800,1999,1600.0,640.0,1.0,38.0,76.0,30.0,7.0,8.0,360.0,119.0,229.0
3,Nikon Coolpix 8400,2004,3264.0,2592.0,8.0,24.0,85.0,50.0,3.0,0.0,470.0,113.0,229.0
3,Nikon Coolpix 8700,2004,3264.0,2592.0,8.0,35.0,280.0,50.0,3.0,0.0,512.0,113.0,229.0
3,Nikon Coolpix 880,2000,2048.0,1024.0,3.0,38.0,95.0,40.0,4.0,8.0,320.0,99.5,229.0
3,Nikon Coolpix 8800,2004,3264.0,2592.0,8.0,35.0,350.0,50.0,3.0,0.0,680.0,116.0,229.0
3,Nikon Coolpix 885,2001,2048.0,1024.0,3.0,38.0,114.0,40.0,4.0,16.0,286.0,95.0,159.0
3,Nikon Coolpix 900,1998,1280.0,640.0,1.0,38.0,115.0,50.0,20.0,4.0,420.0,157.0,229.0
3,Nikon Coolpix 900S,1998,1280.0,640.0,1.0,38.0,115.0,50.0,20.0,8.0,420.0,157.0,229.0
3,Nikon Coolpix 950,1999,1600.0,1024.0,1.0,38.0,115.0,30.0,2.0,8.0,480.0,143.0,229.0
3,Nikon Coolpix 990,2000,2048.0,1024.0,3.0,38.0,115.0,30.0,2.0,16.0,450.0,143.0,229.0
3,Nikon Coolpix 995,2001,2048.0,1600.0,3.0,38.0,152.0,30.0,2.0,16.0,420.0,138.0,159.0
3,Nikon Coolpix L1,2005,2816.0,2048.0,6.0,38.0,190.0,50.0,4.0,10.0,195.0,90.0,99.0
3,Nikon Coolpix L10,2007,2560.0,2048.0,4.0,37.0,112.0,40.0,15.0,7.0,165.0,90.0,99.0
3,Nikon Coolpix L11,2007,2816.0,2048.0,6.0,37.0,112.0,40.0,15.0,7.0,175.0,90.0,99.0
3,Nikon Coolpix L12,2007,3072.0,2592.0,7.0,35.0,105.0,50.0,15.0,21.0,175.0,91.0,99.0
3,Nikon Coolpix L14,2007,3072.0,2048.0,7.0,38.0,114.0,60.0,10.0,23.0,225.0,91.0,129.0
3,Nikon Coolpix L15,2007,3264.0,2592.0,8.0,35.0,105.0,50.0,15.0,32.0,225.0,91.0,159.0
3,Nikon Coolpix L2,2006,2816.0,2048.0,6.0,38.0,116.0,30.0,10.0,23.0,170.0,91.0,99.0
3,Nikon Coolpix L3,2006,2592.0,2048.0,5.0,38.0,116.0,30.0,10.0,23.0,170.0,91.0,99.0
3,Nikon Coolpix L4,2006,2272.0,1600.0,3.0,38.0,114.0,30.0,4.0,10.0,165.0,87.0,99.0
3,Nikon Coolpix L5,2006,3072.0,2592.0,7.0,38.0,190.0,50.0,4.0,8.0,210.0,97.0,99.0
3,Nikon Coolpix L6,2006,2816.0,2048.0,6.0,38.0,116.0,30.0,10.0,23.0,175.0,91.0,99.0
3,Nikon Coolpix P1,2005,3264.0,2592.0,8.0,35.0,126.0,50.0,4.0,32.0,185.0,91.0,99.0
3,Nikon Coolpix P2,2005,2592.0,2048.0,5.0,35.0,126.0,50.0,4.0,16.0,185.0,91.0,229.0
3,Nikon Coolpix P3,2006,3264.0,2592.0,8.0,36.0,126.0,30.0,4.0,23.0,200.0,92.0,229.0
3,Nikon Coolpix P4,2006,3264.0,2592.0,8.0,36.0,126.0,30.0,4.0,23.0,200.0,92.0,229.0
3,Nikon Coolpix P50,2007,3264.0,3200.0,8.0,28.0,102.0,50.0,5.0,52.0,210.0,95.0,229.0
3,Nikon Coolpix P5000,2007,3648.0,2592.0,10.0,36.0,126.0,30.0,4.0,26.0,240.0,98.0,399.0
3,Nikon Coolpix P5100,2007,4000.0,3264.0,12.0,35.0,123.0,30.0,4.0,52.0,250.0,98.0,399.0
3,Nikon Coolpix S1,2005,2592.0,2048.0,5.0,35.0,105.0,30.0,4.0,12.0,170.0,90.0,99.0
3,Nikon Coolpix S10,2006,2816.0,2048.0,6.0,38.0,380.0,30.0,4.0,16.0,280.0,113.0,99.0
3,Nikon Coolpix S2,2005,2592.0,2048.0,5.0,35.0,105.0,30.0,4.0,12.0,160.0,92.0,199.0
3,Nikon Coolpix S200,2007,3072.0,2592.0,7.0,38.0,114.0,60.0,10.0,20.0,165.0,92.0,229.0
3,Nikon Coolpix S3,2005,2816.0,2048.0,6.0,35.0,105.0,30.0,4.0,12.0,132.0,90.0,199.0
3,Nikon Coolpix S4,2005,2816.0,2048.0,6.0,38.0,380.0,30.0,6.0,13.0,225.0,112.0,199.0
3,Nikon Coolpix S5,2006,2816.0,2048.0,6.0,35.0,105.0,30.0,4.0,21.0,165.0,93.0,229.0
3,Nikon Coolpix S50,2007,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,165.0,88.0,229.0
3,Nikon Coolpix S500,2007,3072.0,2592.0,7.0,35.0,105.0,50.0,15.0,26.0,165.0,88.0,229.0
3,Nikon Coolpix S50c,2007,3072.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,165.0,88.0,329.0
3,Nikon Coolpix S51,2007,3264.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,175.0,93.0,279.0
3,Nikon Coolpix S510,2007,3264.0,3200.0,8.0,35.0,105.0,50.0,15.0,52.0,125.0,88.0,399.0
3,Nikon Coolpix S51c,2007,3264.0,2592.0,7.0,38.0,114.0,30.0,4.0,13.0,175.0,98.0,329.0
3,Nikon Coolpix S6,2006,2816.0,2048.0,6.0,35.0,105.0,30.0,4.0,20.0,170.0,101.0,199.0
3,Nikon Coolpix S7c,2006,3072.0,2592.0,7.0,35.0,105.0,30.0,4.0,14.0,170.0,101.0,199.0
3,Nikon Coolpix S9,2006,2816.0,2048.0,6.0,38.0,114.0,25.0,4.0,24.0,165.0,91.0,199.0
3,Nikon Coolpix SQ,2003,2016.0,1600.0,3.0,37.0,111.0,30.0,4.0,16.0,216.0,83.0,199.0